iteration,timestamp,avg_fitness,general_MAX_CLUSTER_DISTANCE,general_MAX_CLUSTER_JOIN_DISTANCE,populationSize,generations,newChromosomes,eliminator_type,eliminator_elitism,eliminator_survivalRate,eliminator_p,mutator_comp_p,mutator_child1_numMutations,mutator_child1_p,mutator_child1_weight,mutator_child2_numMutations,mutator_child2_p,mutator_child2_weight,crossover_comp_p,crossover_child1_geoP,crossover_child1_crossoverProb,crossover_child1_weight,crossover_child2_geoP,crossover_child2_crossoverProb,crossover_child2_weight,crossover_child3_p,crossover_child3_weight,crossover_child4_k,crossover_child4_p,crossover_child4_weight,crossover_child5_k,crossover_child5_p,crossover_child5_weight,selection_type,selection_tournamentSize,fast_smal_instance.job_fitness
21,2026-06-14T17:47:49.780133,20.160801595809648,11.1316220682637,15.395914284538383,5000,2000,30,EliteGeometricEliminator,1,0.1416591005724382,0.1,0.9999900605678899,2,0.31236093008256727,0.20699973398769383,6,0.14634765202283417,0.697629832333918,0.99999,0.1,0.20382748720657934,0.1,0.8,0.1,0.4860544896439657,0.5840984342619583,0.5252124441949411,2,0.24819478031034453,0.7548871609409727,8,0.5278983445180987,0.1,TournamentSelection,6,20.160801595809648
22,2026-06-14T17:54:56.168932,20.208564095699437,5.204919001806899,10.117684880373556,5000,5000,19,EliteGeometricEliminator,1,0.07249366075425594,0.95,1.0,3,0.1,0.1,12,0.9,0.1,0.99999,0.8,0.1958070076639386,0.34067042977028306,0.8,0.95,0.4458319899229366,0.9,0.7438673323911187,7,0.6329840668231744,0.1,7,0.9,0.6404385674948534,TournamentSelection,3,20.208564095699437
23,2026-06-14T18:09:59.374955,20.02063417933689,5.8810954946426,20.0,5000,2000,11,EliteGeometricEliminator,18,0.48613739843499376,0.5438927644766351,0.9999979466623276,7,0.4119287191649239,0.6978131884415051,13,0.7914741426194893,0.5425673817782659,0.9999911283641222,0.8,0.1,1.0,0.8,0.95,0.1,0.32232966802675533,0.9419975844992522,8,0.11103399584613621,0.5151099797807813,5,0.5122237830241056,1.0,TournamentSelection,5,20.02063417933689
24,2026-06-14T18:10:48.767728,20.173854443786077,9.305738212790938,3.5316550068091557,500,5000,19,EliteEliminator,6,0.44413028608923216,0.1794731218107207,0.9999956040342871,3,0.22501084193981083,0.8897730205244254,5,0.7078163019431768,0.4844748815168065,1.0,0.4664938572031624,0.938843770919608,0.1707346771843038,0.11768373818712276,0.7867666839372696,0.6949321598956576,0.7984661070196526,0.2793325393823275,4,0.7607548218062763,0.6799691101925238,3,0.5553378706080525,0.21671936638189201,TournamentSelection,6,20.173854443786077
25,2026-06-14T18:10:55.722777,15.73003411331458,5.140875035385398,12.269110237435266,500,500,27,EliteEliminator,19,0.10294647704841654,0.31768819871960685,0.9999906122086498,4,0.205229689872925,0.799061428855691,18,0.8076794488011582,0.39255122558861877,0.9999983329429392,0.17438315166279414,0.7104084256463918,0.5817695265327035,0.6271667076152246,0.6041763953919664,0.7114058576899951,0.23976937127020526,0.9776926448330048,4,0.4945039315196721,0.3796120472688872,4,0.8652506169686637,0.3800170170312859,RankSelection,5,15.73003411331458
26,2026-06-14T18:11:38.974647,19.930385081745484,1.3411059630143165,20.0,500,5000,16,EliteEliminator,1,0.17530204582310216,0.1,1.0,1,0.9,1.0,5,0.9,0.1,0.9999967868504923,0.1,0.37020757908177415,1.0,0.1,0.2955617396389735,0.1,0.9,0.14871072559696438,5,0.4690800465056142,0.1,2,0.7791395806257734,0.1,TournamentSelection,6,19.930385081745484
27,2026-06-14T18:25:16.092303,20.14413487601363,12.0,15.566645631785288,5000,8000,3,EliteGeometricEliminator,1,0.1669932628900016,0.9492621434014591,0.99999771203925,1,0.7548954132555955,1.0,13,0.9,0.1,0.99999,0.69241354381675,0.3059243931536912,0.1,0.8,0.5478458502706129,0.4806703512232937,0.49970667996971585,0.1,8,0.5896382899320612,0.8381281313784857,6,0.37668862276079396,0.824272000567216,TournamentSelection,2,20.14413487601363
28,2026-06-14T18:25:54.992243,19.88893974577663,9.569831929198655,13.685354189021577,5000,500,3,EliteEliminator,16,0.12610043777545155,0.23925362928780644,0.9999977601143232,4,0.6032913815112875,0.1299603100705169,8,0.37976135649624354,0.8818686001000866,0.9999905605295103,0.4366011922138793,0.48603098737124006,0.3415923777844336,0.4113955363050983,0.29206855040959334,0.9680996497896919,0.6044198567295707,0.4555013514173746,2,0.3973896458603766,0.194445106315223,5,0.822864642206053,0.5311548849616149,TournamentSelection,5,19.88893974577663
29,2026-06-14T18:40:58.176769,20.04461309325103,2.835391503630889,6.306493612180557,5000,8000,23,EliteGeometricEliminator,4,0.48179027824008885,0.754529067556049,0.9999963232142923,2,0.1,0.29721640739987437,13,0.10649848427332761,0.8295626666833211,0.9999998832307355,0.1037089596949773,0.7212240938010158,0.16236345834424895,0.7908656887527935,0.33780474157825335,0.10425158617477946,0.6924350521843643,0.3444490791170782,6,0.826124871008753,0.7624246698048469,3,0.23712960997907362,0.46840500698446763,TournamentSelection,4,20.04461309325103
30,2026-06-14T18:48:21.211612,20.22942820609508,2.679772497024416,20.0,5000,5000,6,EliteEliminator,1,0.5,0.9288386927168061,0.9999994855541663,5,0.1,0.2199773436661473,6,0.28819197544051045,0.8194762407609683,0.999994625371011,0.8,0.6721319932907283,0.4028498702257205,0.3811313880065509,0.7572920355141317,0.38270574487085374,0.3966487742543644,0.9920406426079251,5,0.6632781535435505,0.9874364033067349,8,0.1,0.31579035434606023,TournamentSelection,4,20.22942820609508
31,2026-06-14T18:57:58.745988,20.030220450854966,12.0,2.743798337837423,5000,5000,14,EliteEliminator,2,0.1552825863521474,0.1,0.99999,3,0.22760422101955152,0.10678030604740174,7,0.8933478211683744,0.40718483860647925,0.9999906197286055,0.1904060356046155,0.1,0.1,0.6644099412445514,0.1,1.0,0.9,0.16767965103514257,5,0.887375321903335,0.9072165664843209,5,0.7014305993778909,0.1478346523020005,TournamentSelection,6,20.030220450854966
32,2026-06-14T19:03:37.363668,19.946085385687397,12.0,15.959690491943993,5000,2000,30,EliteEliminator,1,0.05,0.1,0.99999,1,0.9,0.7837005851377965,5,0.805822558779139,1.0,0.9999976973975673,0.7536173517415046,0.1,0.1,0.8,0.1,1.0,0.9,0.8707271730400457,2,0.6090370900870664,1.0,6,0.9,0.1,TournamentSelection,5,19.946085385687397
